"website","hotelStars","city","state","postalCode","description","location/lat","location/lng","categoryName","title","address","hotelDescription","phone","imageUrl","url","imagesCount"
,,"Ujjain","Madhya Pradesh","456001",,"23.1816348","75.7803936","Hotel","Hotel","174, Mahakal Marg, Daulat Ganj, Dewas Gate, Malipura, Ujjain, Madhya Pradesh 456001, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s0gk74jyfMDzGFZCXNlsgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.759739&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Hotel&query_place_id=ChIJC_VKrUN1YzkRGK3FqzgIGes","1"
,,"Ujjain","Madhya Pradesh","456001",,"23.1765667","75.7647861","Hotel","Hotel Shree Gebi Hanuman Place","mahakal lok, 50, Jaysinghpura Marg, MARG, Jaisinghpura, Ujjain, Madhya Pradesh 456001, India",,,,"https://www.google.com/maps/search/?api=1&query=Hotel%20Shree%20Gebi%20Hanuman%20Place&query_place_id=ChIJhdIr60t0YzkR6BPNhGIP2PE",
"https://samayarooms.com/hotel/SAMAYA50085",,"Ujjain","Madhya Pradesh","456001",,"23.1835","75.7714217","Hotel","SAMAYA50085, Hotel City Light","104 7, Mahakal Marg, Kot Mohalla, Kharakua Colony, Ujjain, Madhya Pradesh 456001, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P1XLs-9sb0GRYYHJPEAmng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=21.553352&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=SAMAYA50085%2C%20Hotel%20City%20Light&query_place_id=ChIJc8_d32l1YzkRjetxxzCSjjY","1"
,,"Ujjain","Madhya Pradesh","456010",,"23.1822288","75.7699981","Hotel","Hotel JK","5QJC+R2R, 38A -01, Kot Mohalla, Mahakal Ghati, Ujjain, Madhya Pradesh 456010, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npg3A6hpd1qebB2RBLs0g6_G35HQa41KH1dkOreEE7DrSt09YXhbOSLrRHc2nC0vfzdF4vvxvfAqIfgMu4cibgVX1HNyY4r9S7o4fsRwFBEztJprQ0ynlpKB3wl0ZIoiGehehng=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=Hotel%20JK&query_place_id=ChIJKTtdGgB1YzkRlMyxsDWD6XQ","8"
,,"Ujjain","Madhya Pradesh",,,"23.1805538","75.8187839","Hindu temple","Shri Sheetla Mata Mandir","5RJ9+6GF, Nimanwasa, Industrial Area, Maxi Rd, Ujjain, Madhya Pradesh, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRd1p6CNyGPHGficGdjGMjtfS70slT_dE6zfZPkjwc8Sg5Zzy6383C989L-WdpfYxpRQFpncbROFxXZVqvWxTmKdyjN_uVimPyJ6LDPws15WXuQBBGr6UuEYXJfyurJvMLmJg=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Shri%20Sheetla%20Mata%20Mandir&query_place_id=ChIJXQdAAZJzYzkRHly3F3mcuJI","3"
,,"Ujjain","Madhya Pradesh","456010",,"23.1539999","75.8025202","Hindu temple","Narmadeshwar mahadev mandir","5R33+H2R, Sector C, Mahananda Nagar, Ujjain, Madhya Pradesh 456010, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=18DveJG_e_kOvFDJHBJDKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.9969&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Narmadeshwar%20mahadev%20mandir&query_place_id=ChIJuWHvOAB1YzkR_mBymKYMNp8","1"
,,"Ujjain","Madhya Pradesh","456006",,"23.1793816","75.7993666","Hindu temple","Ichchapurti Mahadev mandir","35/2, Desai Nagar, Ujjain, Madhya Pradesh 456006, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zmwhrvaNOWa_YzR6jxNsAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.086208&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Ichchapurti%20Mahadev%20mandir&query_place_id=ChIJTeBbSAB1YzkR1XQ4fHpmQRg","1"
,,"Ujjain","Madhya Pradesh","456006",,"23.182465","75.8042663","Hindu temple","Ma shidheswri mandir","5RJ3+XPJ, Maksi Rd, Ganga Singh Colony, Gopalpura, Ujjain, Madhya Pradesh 456006, India",,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NyAAbOxP4XULf0SeYI2yWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.1992158&pitch=0&thumbfov=100","https://www.google.com/maps/search/?api=1&query=Ma%20shidheswri%20mandir&query_place_id=ChIJDV1jnIR1YzkRJe9sYooKg_o","1"
,,"Ujjain","Madhya Pradesh","456010",,"23.1853214","75.816072","Hindu temple","Mahadev Mandir","5RP8+5C7, Industrial Area, Agrasen Nagar, Ujjain, Madhya Pradesh 456010, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1l1hINbPlS8ShCOD0rpeyItknhNdnsKWcghlT8QKgaGfw3yE_qKCdygZyvddcruXUBdcdFJPVSED_cruM-Q9Jmf97cYLbYe6E9pgfPhqZPuArnJeNBKZBUVPIodqH1usDcgUPWlmx_ujJ=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Mahadev%20Mandir&query_place_id=ChIJoyqXFgBzYzkRt1irCJPznUw","3"
,,"Kishanpura, Ujjain","Madhya Pradesh","456006",,"23.1809907","75.8012373","Hindu temple","Bada mandir shri ram mandir","5RJ2+9FX, Ganga Singh Colony, Desai Nagar, Kishanpura, Ujjain, Madhya Pradesh 456006, India",,,,"https://www.google.com/maps/search/?api=1&query=Bada%20mandir%20shri%20ram%20mandir&query_place_id=ChIJ68-CRgB1YzkRpIgSw_aext8",
